Traceport Meta Category,Traceport Meta Tag,PCS Term,PCS Code,NTEE Code,Definition,NTEE Long Description,NTEE Major Group Letter,NTEE Major Group Letter Description,360Giving Term
,Civil protection,Civil protection,SJ060100,M21,"Planning and preparation activities for military emergencies or crises, especially those that are of special use to communities and the public.",,M,"Public Safety, Disaster Preparedness & Relief",
,Disaster preparedness,Disaster preparedness,SJ060200,NEW,"Education and awareness of how to prepare for a disaster or emergency. Includes preparing equipment and procedures for when a disaster or emergency occurs, building shelters, emergency communication systems, installing early warning devices, preparing emergency backup generators, and preparing and rehearsing evacuation plans and procedures. On a civilian level it can include education and public awareness campaigns about creating an emergency kit (water, a flashlight, food, necessary medical supplies and prescription medications), training in emergency first aid, evacuation procedures, or recruiting and training volunteers to assist during a disaster or emergency. ",,N,Recreation & Sports,
,Disaster reconstruction,Disaster reconstruction,SJ060300,NEW,"Planning and providing service and materials for reconstruction and recovery after a disaster. Includes supplying temporary housing, reconstruction of damaged or destroyed structures, financial and material assistance and relief, psychological support and trauma counseling, and aid to effected communities. ",,N,Recreation & Sports,
,Disaster relief,Disaster relief,SJ060400,NEW,"Planning and providing services and relief during and immediately after a disaster or emergency, including rescuing victims, and providing emergency medical care, shelter and food.",,N,Recreation & Sports,
,Internal resettlement,Internal resettlement,SJ060500,NEW,"Planning and providing for the resettlement of victims of disasters and emergencies, or political refugees, within their own country or state.",,N,Recreation & Sports,
,Disasters,Disasters,SJ060600,NEW,"Natural disasters are naturally occurring environmental disasters and emergencies, including droughts, earthquakes, famines, floods, hurricanes, forest fires, tornados and tsunamis. Non-natural disasters are man-made emergencies or disasters, including industrial accidents (explosions, oil spills, gas and chemical leaks), train derailments, terrorists attacks, and building and infrastructure collapses.",,N,Recreation & Sports,
,Droughts,Droughts,SJ060601,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after a major drought. May include drought preparedness and water conservation information for businesses, individuals and families (materials, training, property evaluation), drought relief measures (such compensation for lost crops and emergency drinking water), and training for emergency relief managers.",,N,Recreation & Sports,
,Earthquakes,Earthquakes,SJ060602,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after a major earthquake. May include earthquake preparedness information for businesses, individuals and families (materials, training, property evaluation, evacuation), and training for emergency relief managers.",,N,Recreation & Sports,
,Famines,Famines,SJ060603,NEW,"Emergency planning, preparedness, mitigation, response and relief services prior to, during and after a major famine. See also: Food aid.",,N,Recreation & Sports,
,Floods,Floods,SJ060604,M22,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after a major flood. Included may be: Flood/siltation control; Flood preparedness information for businesses, individuals and families (materials, training, property evaluation); Flood mitigation materials (plastic sheeting, sandbags, and other flood diversion devices); and Training for floodplain managers.",,M,"Public Safety, Disaster Preparedness & Relief",
,"Storms, hurricanes and tornadoes","Storms, hurricanes and tornadoes",SJ060605,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after a major storm, cyclone, tornado, or hurricane. May include hurricane preparedness information for businesses, individuals and families (materials, training, property evaluation); hurricane mitigation materials (plywood boards to protect windows); and training for emergency relief managers.",,N,Recreation & Sports,
,Non-natural disasters,Non-natural disasters,SJ060606,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after a major non-natural disaster. May include disaster preparedness information for businesses, individuals and families (materials, training, property evaluation, evacuation procedures), disaster mitigation materials, and training for emergency relief managers. On-natural disasters include industrial accidents, such as oil spills, explosions, gas or chemical leaks, as well as terrorist and nuclear attacks, plane crashes and train derailments, building collapses. ",,N,Recreation & Sports,
,Tsunamis,Tsunamis,SJ060607,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after a tsunami. May include tsunami preparedness information for businesses, individuals and families (materials, training, property evaluation, evacuation procedures), tsunami mitigation materials (plywood boards to protect windows, sandbags for flood protection); and training for emergency relief managers.",,N,Recreation & Sports,
,"Avalanches, landslides, and rockfalls","Avalanches, landslides, and rockfalls",SJ060608,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after mass movements or mass wasting, including mudslides, erosion, and land creep.",,N,Recreation & Sports,
,Volcanos,Volcanos,SJ060609,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after ruptures on the crust of the Earth (or other planetary object), allowing hot lava, volcanic ash and gases to escape from a magma chamber below the surface. Volcanos often occur because of tectonic plate movements on the hotter, softer layer of the mantle. Therefore, volcanos are generally found where tectonic plates are diverging or converging. They can also form where there is stretching and thinning of the crust's interior plates, and as mantle plumes, in areas called hotspots. ",,N,Recreation & Sports,
,Extreme temperatures,Extreme temperatures,SJ060610,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after periods of very hot or very cold weather conditions, including heat waves: prolonged periods of excessively hot and sometimes humid weather relative to the normal climate patterns of a given region; and cold waves: prolonged periods of excessively cold weather and the sudden invasion of very cold air over a large area. These weather conditions may cause agricultural damage, interrupt transportation, disrupt business, and threaten human health and life.",,N,Recreation & Sports,
,Wildfires,Wildfires,SJ060611,NEW,"Emergency planning, preparedness, mitigation, response, relief and/or recovery services prior to, during and after unplanned, uncontrolled fires in areas of combustible vegetation occurring in rural or wilderness areas. Wildfires occur when all the necessary elements of a fire triangle converge in a susceptible place: an ignition source contacts a combustible material that is sufficiently hot and has an adequate supply of oxygen from the ambient air. While they occur outdoors in wooded or grassy areas acting as sources of fuel, buildings and other man-made structures can be impacted via Wildland-Urban Interface Fires if a wildfire spreads to adjacent inhabited communities. Wildfires are quasi-natural hazards, caused by human activity such as arson and agricultural burning as well as natural phenomena like lightning and spontaneous combustion. They differ from other fires in their extensive size, how fast they spread from the original source, potential to change direction unexpectedly, and ability to jump gaps such as roads, rivers and fire breaks. They can be vastly damaging, both to property and human life, but also have beneficial effects on wilderness areas, especially fire dependent ecosystems. Strategies of prevention, detection and suppression include controlled burning.",,N,Recreation & Sports,
,Epidemics and pandemics,Epidemics and pandemics,SJ060612,NEW,"Efforts related to the prevention or control of an epidemic or pandemic. An epidemic refers to a usually sudden increase in the number of cases of a disease above what is normally expected in the population of a given area. Epidemic-prone diseases include avian influenza, cholera, coronavirus, Ebola, influenza, Middle East respiratory syndrome, Yellow fever and Zika. A pandemic is an epidemic that has spread over several countries or continents, usually affecting a large number of people.",,N,Recreation & Sports,
,Search and rescue,Search and rescue,SJ060700,M23,"Emergency rescue operations and/or lifesaving activities for people who are stranded, lost, accident victims, or exposed to other life threatening dangers. Included may be organizations that participate in air rescue, mountain rescue, sea rescue, ski rescue, traffic accident rescue and urban search and rescue operations. For ambulance service, use Emergency medical services.",,M,"Public Safety, Disaster Preparedness & Relief",
,Fire prevention and control,Fire prevention and control,SJ070000,M24,"Control and extinction of fires in urban and suburban areas as well as high-rise fires, marine fires, fires involving petrochemicals or hazardous materials and those associated with air crashes; the inspection of buildings, housing units, and industrial plants to ensure compliance with fire codes in order to eliminate or reduce potential fire hazards; and the maintenance of equipment and trained firefighters necessary for a quick and efficient response to fires when they occur. Also included are informational programs about the measures that people can take to protect homes, businesses and other property from the threat of fire; supply fire suppression equipment; and provide relief and/or recovery services for victims of fire.",,M,"Public Safety, Disaster Preparedness & Relief",
,Safety education,Safety education,SJ080000,M40,"Public awareness activities about the measures that people can take to reduce the risk of accidents in the home, at school, in the air or on the water or while walking, driving or riding as a passenger in a motor vehicle; or which encourage people to avoid behaviors which may endanger their safety. Use this term for general safety programs, programs that deal with a multiplicity of safety issues, or programs that deal with specific safety education issues not broken out at a lower level. Included may be: Air safety; Child care instruction programs; Firearm safety; Household safety; Industrial safety; Personal safety; School safety; Water safety; and Safety equipment.",,M,"Public Safety, Disaster Preparedness & Relief",
,First aid training,First aid training,SJ080100,M41,"Instruction of the public in the basic lifesaving techniques involved in the administration of emergency assistance to individuals who have been injured or otherwise disabled prior to the arrival of trained medical personnel. Includes CPR instruction and instruction in techniques for relieving an individual who is choking. For ambulance and other emergency medical transportation resources including paramedic services, and for other emergency medical services, use Emergency medical services.",,M,"Public Safety, Disaster Preparedness & Relief",
,Traffic safety,Traffic safety,SJ080200,M42,"Public awareness activities about the measures people can take to ensure their own safety and that of others while driving or riding as passengers in a motor vehicle, riding a bicycle, roller skating, skateboarding or walking as pedestrians in traffic. Includes publicizing information about safety seats and other traffic safety equipment, defensive driving and biking programs and traffic school programs for people with traffic violation convictions, and other education programs for safe behavior on the streets and highways. Also included is research in the area of highway safety; development of recommendations regarding minimum safety standards for all vehicles; and advocacy for passage of laws which help to ensure public safety on highways. See also: Impaired driving, Bicycling and pedestrian-oriented development (in Community and economic development).",,M,"Public Safety, Disaster Preparedness & Relief",
,Automotive safety,Automotive safety,SJ080201,NEW,"Information and public awareness about the measures that people can take to ensure their own safety and that of others while driving or riding as a passenger in a motor vehicle. Includes public information initiatives regarding child passenger safety seats, defensive driving programs, and traffic school programs for people with traffic violation convictions. This category also includes research into the area of highway safety, developing recommendations regarding minimum safety standards for motor vehicles, and advocating for the passage of laws that help to ensure public safety on the highways. For drunk driving prevention, use Impaired driving.",,N,Recreation & Sports,
,Pedestrian safety,Pedestrian safety,SJ080202,NEW,"Information and public awareness about the measures that people can take to ensure their own safety, and that of others, while walking or driving. Includes public information initiatives aimed at both pedestrians and motorists that provide education about pedestrian safety and specific dangers that can lead to injury or loss of life (using designated sidewalks and crossings, not walking on the shoulder of highways, drivers stopping fully at stop signs and obeying speed limits). This category also includes research into the area of pedestrian safety and advocating for pedestrian friendly urban design and the creation of walkable cities. ",,N,Recreation & Sports,
,Bicycle safety,Bicycle safety,SJ080203,NEW,"Information and public awareness about the measures that people can take to ensure their own safety and that of others while riding a bicycle. Includes public information initiatives that provide education about road safety for cyclists (laws for cyclists, hand signals, helmets and protective clothing, tips to avoid collisions). This category also includes research into the area of bicycle safety and advocating for bicycle paths and bicycle-friendly urban design. ",,N,Recreation & Sports,
,Poison control,Poison control,SJ080300,M43,"Emergency information, usually provided on a twenty-four hour basis, for medical personnel or others who may need to take immediate corrective action to treat an individual who has been poisoned or to prevent such an occurrence; and public education and information for consumers about the safe storage and disposal of medication, cleaning products, poisons and other household hazardous materials and those which answer questions concerning prescription, over-the-counter or street drugs including those regarding appropriate therapeutic uses, adverse side effects, interaction/reaction with foods or other drugs, product identification and availability or equivalency and safety when used by children and those who are pregnant or breastfeeding.",,M,"Public Safety, Disaster Preparedness & Relief",
,Home safety,Home safety,SJ080400,NEW,"Information and public awareness about the measures that people can take to ensure their own and others safety in and around their home. Includes education about fire hazards and maintenance of smoke alarms, carbon monoxide and radon poisoning, toxic mold, prevention of electrocution, unsafe ladder use and dangerous construction and maintenance practices. This category also includes research into the area of home and yard safety.",,N,Recreation & Sports,
,Consumer protection,Consumer protection,SJ090000,W90,"Education and protection of individuals who purchase, use, maintain and dispose of products and services. Included are programs that establish and/or enforce pricing policies, credit reporting and debt collection practices, quality and safety standards for goods and services and other trade practices that affect the consumer; educate the public regarding their rights and responsibilities as consumers; and provide access for consumers to fair hearings, mediation or binding arbitration when they have complaints regarding consumer products and services and to appropriate remedies when their complaints are justified.",,W,Public & Societal Benefit,
,Universal design,Universal design,SJ090100,W91,"Promotion and creation of environments that are easy to use by everyone. The term applies to facilities, methods of communication, and electronic devices that ensure ease of use for people with disabilities. These include Braille signage, wheelchair ramps, audio signals at pedestrian crossings, curb ramps, talking automatic teller machines, Sign Language interpretation, web sites that meet certain standards, assistive listening devices, and other architectural features that promote and foster full participation.",,W,Public & Societal Benefit,
,Food safety,Food safety,SJ090200,NEW,"Activities to educate and protect consumers from foodborne illness and health hazards. Includes monitoring/regulating food industry practices, industry to market, and market to consumer processes. Food safety considerations include origins of food, food production processes, food labeling, food hygiene, food additives, pesticide residues, policies on biotechnology and food, guidelines for the management of food transportation and storage, import and export inspection. See also: Water access, sanitation and hygiene (WASH in Public health) for programs focusing on clean and safe water supply, sanitation and hygiene.",,N,Recreation & Sports,
,Drug safety,Drug safety,SJ090300,NEW,"Activities informing consumers and health professionals of potentially adverse effects of pharmacologic products. Includes programs that monitor, detect, assess, report and prevent short- and long-term adverse effects of drugs and herbal remedies. Drug safety issues include drug manufacturing and testing, appropriate drug labeling, benefit-risk assessment, risk management, medication error prevention, potential dependency or abuse, indications and usage, contraindications, adverse reactions and undesirable effects reasonably associated with proper use of drug, warnings of serious adverse reactions and potential safety hazards.",,N,Recreation & Sports,
,Restorative and transformative justice,Restorative and transformative justice,SJ100000,NEW,"Restorative justice is an approach to justice that seeks to repair harm and reduce the likelihood of re-offense by providing an opportunity for those harmed and those who take responsibility for the harm to communicate about and address their needs in the aftermath of a crime. It recognizes that maintaining positive relationships with others is a core human need and seeks to address the root causes of crime, even to the point of transforming unjust systems and structures. While restorative justice only addresses the specific conflict between the victim and offender, transformative justice strives to use the conflict as an opportunity to address the social inequities and environmental factors that allowed the harm to be done in the first place.",,N,Recreation & Sports,
Public affairs,Public affairs,Public affairs,SK000000,W00,"Organizations or programs that focus on promoting the effective functioning of government, public administration and public officials; programs that conduct or promote research in multidisciplinary public policy (e.g., Joint Center for Political Studies); programs that support or provide services required for the effective functioning of society (e.g., public works projects, public utilities, public finance, legal and judicial systems, elections, etc.).; programs that promote patriotism, encourage civic participation, and support national security; and organizations that protect the public against the distribution of unsafe goods and products, including product testing and reporting services. Does not include social services organizations that focus on the provision of human services (use terms in Human services); strict political science research (use Political science); or public policy research tied specifically to a major group area (use field-specific coding where possible).",,W,Public & Societal Benefit,
,Public policy,Public policy,SK010000,W06,"Study or analysis of, research or teaching about, management or development of public policy, i.e. the principles that govern society and the ways they manifest themselves in public discourse, government and legislative action, regulation and funding.",,W,Public & Societal Benefit,
,Anti-abortion,Anti-abortion,SK010100,R62,"Efforts to restrict access to abortion, including work for passage of legislation or other social measures which seek to assign legal rights to an unborn human being or criminalize the termination of unwanted pregnancies. Also included are counseling services provided by crisis pregnancy centers, which aim to persuade individuals against seeking an abortion.",,R,"Civil Rights, Social Action & Advocacy",
,Traditional marriage,Traditional marriage,SK010200,R6E,"Work to support  the statutory and societal definitions of marriage as a legal union between one man and one woman, and the definition of spouse as a person of the opposite sex who is a husband or wife; and that oppose the legalization of same-sex marriage.  These organizations or programs may or may not also oppose the institutionalization of civil union, domestic partnership, adoption rights, spouse visitation, and other benefits or opportunities for same-sex couples.",,R,"Civil Rights, Social Action & Advocacy",
,Leadership development,Leadership development,SK020000,W70,"Programs that are designed to train people to become effective leaders on a national or local level and in a variety of fields, such as the American Leadership Forum or Shavano Institute for National Leadership. For youth leadership development programs, use terms under Youth Development.",,W,Public & Societal Benefit,
,Public/private ventures,Public/private ventures,SK030000,S25,"Cooperation between government and the private sector in the development of large projects of public benefit in which government and the private investor share the financial risks and rewards. For example the private partner may finance the building of a hospital which will then be leased and run by the government, guaranteeing the long-term value of the private investment while allowing the government to accomplish the project without the initial investment. May include research and policymaking on this subject.",,S,Community Improvement & Capacity Building,
,Democracy,Democracy,SK040000,NEW,"The activities of a political system where citizens choose their government through open elections, citizens are active participants in public life and civic culture, the human rights of all citizens are protected by their government, and citizens are governed by the rule of law. This includes the establishment of democratic institutions in societies which had not formerly had them; the protection of democratic institutions under threat of overthrow or attrition; and the expansion of democratic institutions and principles to new areas of public life. This can also refer specifically to the principles and practices of Liberal democracy which may include constitutional protections of rights such as liberty and equality, promotion of openness and integrity in democratic institutions, and wider and more meaningful participation by all.",,N,Recreation & Sports,
,Civic participation,Civic participation,SK040100,W24,"Broad participation of citizens and stakeholders in government decision-making and the political process by attending council meetings, town meetings, school board meetings and other forums in which public policy issues are being discussed and decisions are being made; communicating with elected officials via correspondence, e-mail, telephone or other means; joining committees that provide advice and guidance to public administrators and elected officials; and using other similar vehicles for involvement in community affairs and policies. See also: Voter education and registration.",,W,Public & Societal Benefit,
,Elections,Elections,SK040200,NEW,"Study of the decision-making process by which populations choose holders of public office; may be on any level of government from town councils and school boards to judgeships, governorships, state and federal legislatures and the presidency. May include research within a variety of disciplines such as history, political science and sociology; voter education; and promotion of safer, more efficient, less corrupt elections in the U.S. and abroad, through civil or technological means.",,N,Recreation & Sports,
,Election regulation,Election regulation,SK040201,W23,"Regulation of the election process to eliminate voter fraud and ensure that elections are run as cleanly as possible and/or assistance for citizens who want to register complaints regarding violations of election laws with respect to voter registration, voting and the counting of votes and the conduct of election officials who are responsible for overseeing voting at polling sites. See also: Voter education and registration.",,W,Public & Societal Benefit,
,Campaign finance,Campaign finance,SK040202,W26,"Programs that study, regulate, and educate about the influence of money in election campaigns; including the development and implementation of campaign finance policies or reform at the national, state, and local levels; research projects to examine the impact of campaign finance policies or reform activities; informing the public of the effect of current or proposed policies regarding campaign finance; and exploration of legal and constitutional issues around money and elections.",,W,Public & Societal Benefit,
,Political organizations,Political organizations,SK040203,W25,"Activities and study of membership groups of individuals with common political goals who have joined together on a voluntary basis to work for the election of specific candidates for public office or the passage of specific ballot measures, or to encourage the implementation of public policies that represent their ideological point of view. Includes political parties, political associations and clubs, political movements and associated institutions.",,W,Public & Societal Benefit,
,Voter education and registration,Voter education and registration,SK040204,R40,"Encouragement of citizens to participate in the political process by providing opportunities for political involvement, access to public officials, or information that is necessary to make informed decisions at the ballot box. Includes distribution of information about campaign finance reporting, filing procedures for candidates, initiative and referendum procedures, the voting records or positions of candidates on the issues, ballot measures and election results; or which provide assistance for people who want to exercise their right to participate in elections by helping them to register as qualified voters. For issues relating to clean elections, use Election regulation; for encouragement of citizen participation in community affairs, use Civic participation.",,R,"Civil Rights, Social Action & Advocacy",
,Public integrity,Public integrity,SK040300,NEW,"Ethical behavior and transparency in the public sphere, including anti-corruption efforts, curtailment of influence-peddling, and good government reforms. Use For: Watchdogs, Whistleblowers. See also: Media democracy, Freedom of information, Open data, Campaign finance.",,N,Recreation & Sports,
,Public administration,Public administration,SK050000,W20,"The effective organization and functioning of government, including the administration of public agencies and the actions and decisions of public officials. Objectives and activities may include broadening the understanding of public service, government management and the contributions of public employees; conducting outreach to promote public and media discussion of government and public administration; developing specific strategies for eliminating waste, and mismanagement in public programs; providing a forum for executives and public officials to discuss and develop new ideas for public service and management; and other activities that encourage excellence in the public sector. Use this term for projects that undertake a broad range of activities directed at improving the functioning of the public sector, and for those that provide specific services in this area that are not broken out at a lower level.",,W,Public & Societal Benefit,
,Census,Census,SK050100,NEW,"Public collection, study, research, and analysis of data on national populations as expressed in official statistics and analyses, useful in planning and policy making and helpful in identifying and predicting trends. May include areas of public interest such as population growth, immigration, geographical concentrations of populations, linguistic and ethnic communities, shifts in average age of populations. See also: Population studies.",,N,Recreation & Sports,
,Public finance,Public finance,SK050200,W22,"Financial administration and taxation, including monetary policy; tax administration; collection, custody and disbursement of funds; debt and investment administration; government employee retirement and other trust funds; and other similar activities.",,W,Public & Societal Benefit,
,Public works,Public works,SK050300,NEW,"Promotion of efficient and economically, socially and ecologically sustainable projects developing the built environment for the purpose of supporting the life of communities and society, from parks to roads and bridges; water, power and waste management installations; schools, hospitals, dams, ports and railroads. May include research and planning activities.",,N,Recreation & Sports,
,Government regulation,Government regulation,SK050400,NEW,"Rulemaking activities at all levels of government, whether through legislation or other forms of regulation, preventive, punitive, or prescriptive. May include research, analysis, and promotion of improvements in efficiency, effectiveness and ethical standards in government regulation of any area of society.",,N,Recreation & Sports,
,Public assistance,Public assistance,SK050500,NEW,"Publicly funded and administered programs assuring that the population’s basic needs, such as food, shelter, education and health care, are met. Use for: Income support, including guaranteed income and universal basic income programs.",,N,Recreation & Sports,
,Social security,Social security,SK050501,NEW,"In the United States, this encompasses several social welfare and insurance programs funded through payroll taxes. Deposits are collected by Internal Revenue Service and entrusted to Social Security Trust Funds and all legal residents working in the United States are given an individual Social Security number. These programs, and analogous ones outside the U.S., are intended to promote income equality and security and represent efforts to provide security for workers upon retirement and to provide protection for people who are disabled. Use For: Supplemental Security Income.",,N,Recreation & Sports,
,Welfare,Welfare,SK050502,W21,"The provision of a minimal level of social and economic support, often for a specified period of time only, for needy citizens through subsidies, vouchers, conditional cash transfers and other forms of aid. In most developed countries welfare is largely provided by the government, with support also coming from charities, informal social groups, religious groups and inter-governmental organizations. Use For: Temporary Aid to Needy Families, Safety net.",,W,Public & Societal Benefit,
,National security,National security,SK060000,Q43,"Activities to ensure the success and security of the state and its infrastructure via economic, political, diplomatic, intelligence and other means. This is accomplished in the face of threats from other states, from non-state actors, and from widespread disasters and/or scarcity. Use For: Department of Homeland Security. ",,Q,"International, Foreign Affairs & National Security",
,Counterterrorism,Counterterrorism,SK060200,I25,"Programs offering research, policy studies, literature, and conferences on the threat, spread, and prevention of international terrorism; and information and services that help the public protect themselves from acts of terrorism, or which prevent its occurrence.",,I,Crime & Legal-Related,
,Bioterrorism,Bioterrorism,SK060201,E75,"Protection of the public health and safety through comprehensive efforts to prevent, control, and eradicate the spread of disease made through criminal acts of terror using biological and/or chemical agents.",,E,Health Care,
,Cyber warfare,Cyber warfare,SK060500,NEW,"Politically-motivated hacking by a nation, state, or international organization to conduct sabotage or espionage, or to otherwise damage another nation's computer systems, databases and information networks; a form of information warfare. Use for: Information warfare, Cyber attacks, Cyber terrorism, United States Cyber Command. See also: Cybercrime, Computer security.",,N,Recreation & Sports,
,National defense,National defense,SK060600,NEW,"The ensemble of forces maintained by a nation to protect its territory, its borders, its citizens, and its interests. This includes land forces, naval forces, air forces, espionage agencies, and many other military or uniformed services. Use for: Armed Forces, Military force, Department of Defense.",,N,Recreation & Sports,
,Public utilities,Public utilities,SK070000,W80,"Gas, electricity, water and sanitary services, including the hook-up of services and the installation, maintenance and repair of necessary equipment. Also included are programs in policy-making, information sharing, research or other activities that relate to public utilities.",,W,Public & Societal Benefit,
,Electric utilities,Electric utilities,SK070100,NEW,"Provision of electric power, including generation, transmission and distribution of electricity for domestic, commercial and industrial uses, whether power is bought from another source, generated through hydropower, wind power, coal-burning or other installations, and including maintenance of the distribution system below or above ground.",,N,Recreation & Sports,
,Oil and gas utilities,Oil and gas utilities,SK070200,NEW,"Provision of oil and natural gas to be used for fuel, especially for heating and air conditioning homes and commercial establishments.",,N,Recreation & Sports,
,Sewage utilities,Sewage utilities,SK070300,W82,"Provision of services that provide disposal systems for human waste and wastewater. For small basic systems that provide household sanitation services, use Sanitation.",,W,Public & Societal Benefit,
,Water utilities,Water utilities,SK070400,W81,"Provision of services that provide clean and safe water for public use. For small basic systems that provide clean water for household use, use Clean water supply.",,W,Public & Societal Benefit,
,Immigration and naturalization,Immigration and naturalization,SK080000,NEW,"Promotion, study, and implementation of policies and regulations regarding the immigration and naturalization of people from other countries. Included are programs dealing with such issues as: permanent residence, visa regulations, work status, asylum for refugees, citizenship requirements, naturalization process, immigration detention, etc. See also: Customs and border control; Immigrant and refugee rights (in Human rights); Immigrant and refugee services (in Human services).",,N,Recreation & Sports,
,Customs and border control,Customs and border control,SK090000,NEW,"The mechanism by which flows of goods and people across national borders are regulated, including issues of national security, regulation of trade, control of illnesses of humans and livestock and agricultural pests, and  prevention of illegal border crossings. For policies and regulations regarding immigrants/immigration, see also Immigration and naturalization.",,N,Recreation & Sports,
"Agriculture, fishing and forestry","Agriculture, fishing and forestry","Agriculture, fishing and forestry",SM000000,K00,"The development and improvement of biological, renewable food and material resources and the systems that produce them - natural, commercial, and industrial. Included are: agricultural activities that improve management of food production and the health of the land and water on which farms and ranches depend; forestry and forest management activities that support the health and productivity of those resources and regions; fishing and fish farming activities that support the health and productivity of that food resource; and efforts to ensure the security, amount, and appropriateness of the food resources available to communities and other groups.",,K,"Food, Agriculture & Nutrition",
,Agriculture,Agriculture,SM010000,K20,Activities that focus on development or improvement of food resources or food procurement.,,K,"Food, Agriculture & Nutrition",
,Farm viability,Farm viability,SM010100,NEW,"Development of agricultural capacity through policy initiatives and practical measures such as skills training, implementation of better technology or more sustainable practices, improvement of access to or quality of land, water, tools, livestock, seed; financial services, transport or processing of harvest.",,N,Recreation & Sports,
,Agricultural cooperatives,Agricultural cooperatives,SM010101,K21,"Groups of farmers or ranchers that have made arrangements to grade, market and ship their products or livestock and/or to purchase supplies as a group in order to get better prices.",,K,"Food, Agriculture & Nutrition",
,Farm bureaus and granges,Farm bureaus and granges,SM010102,K28,"Activities and associations whose participants cultivate the land or raise livestock to earn their living and who work together for the purpose of developing purchasing or marketing cooperatives, supporting the passage and enforcement of laws and other social measures that protect farmers and their farming enterprises, ensuring that farmland is preserved for farming purposes rather than freed for development or engaging in other activities that are designed to promote their interests and ensure their livelihood. For organizations formed exclusively for the purpose of cooperative marketing and purchasing, use Agriculture cooperatives.",,K,"Food, Agriculture & Nutrition",
,Agricultural education,Agricultural education,SM010103,K18,"Support of research, education and training in agricultural practices and policy through hands-on experience or classroom studies, including practical, technical and scientific aspects of management of land, crops or livestock,",,K,"Food, Agriculture & Nutrition",
,Irrigation and water management,Irrigation and water management,SM010200,K22,"Programs that provide systems for irrigation or other agricultural uses of water for private individuals or commercial establishments, or which provide or arrange for access to water for irrigation or other agricultural purposes.",,K,"Food, Agriculture & Nutrition",
,Farmlands,Farmlands,SM010300,K25,"Work to ensure that farmland and ranchland is preserved for farming and ranching rather than freed for development or environmental quality purposes. For more general conservation land trusts that do not involve farmland specifically, use Land resources.",,K,"Food, Agriculture & Nutrition",
,Livestock and ranching,Livestock and ranching,SM010400,K26,"Programs that provide information, technical assistance and support for individuals or commercial establishments including farms, ranches, dairies, feedlots, egg production facilities, poultry hatcheries and apiaries that are engaged in the keeping, grazing, feeding and/or sale of livestock including cattle, hogs, sheep, goats, poultry and other small farm animals.",,K,"Food, Agriculture & Nutrition",
,Subsistence farming,Subsistence farming,SM010500,NEW,"Provision of support or services to people who farm not as a significant source of household income but for pleasure or to supply their own food, sometimes for sale on a very small scale such as roadside vegetable stands, often called hobby-farming. This may include the raising of vegetables, fruit, fowl for eggs and meat, and other livestock, including dairy animals.",,N,Recreation & Sports,
,Food security,Food security,SM020000,NEW,"Activities to ensure the availability of, access to, utilization of, and stability of food sources in adequate quantity and quality that are safe and culturally and nutritionally appropriate. This may include identifying and mitigating barriers to food security on the individual, community, national and global levels; for instance, addressing the problem of neighborhood or community 'food deserts' in larger areas where food may not be scarce, or larger areas themselves where the production of food cannot meet the need. Use For: Hunger, Food deserts, Food access, Affordable food, Food empowerment, Retail food availability, Supermarket revolution.",,N,Recreation & Sports,
,Community food systems,Community food systems,SM020100,K23,"Organizations or programs that facilitate the production, distribution and consumption of locally produced food from ""farm to table."" Includes groups and initiatives that support local food, community gardens, greenmarkets, Community Supported Agriculture (CSA), community food security, civic or urban agriculture, and strengthened ties between rural food producers and urban food consumers.",,K,"Food, Agriculture & Nutrition",
,Forestry,Forestry,SM030000,NEW,Silviculture and resource management such as logging and slash and burn toward the harvesting and agricultural use of forests. Use For: timber production. See also: Forest preservation.,,N,Recreation & Sports,
,Sustainable forestry,Sustainable forestry,SM030100,NEW,"Management of forests according to principles of sustainable development, including regeneration. Use For: renewable forestry for agricultural purposes. See also: Forest preservation.",,N,Recreation & Sports,
,Non-timber forestry,Non-timber forestry,SM030200,NEW,"Useful substances, materials and commodities obtained from forests as biomass not requiring tree harvest, including game animals, fur bearers, nuts, seeds, berries, mushrooms, oil, foliage, medicinal plants, peat, fuelwood and forage. Use for: Non-wood, minor, alternative, secondary and special forest products, subsistence activities involving forests, and wild-crafting. See also: Forest preservation.",,N,Recreation & Sports,
,Fishing and aquaculture,Fishing and aquaculture,SM040000,NEW,"The commercial taking, cultivation, processing, and marketing of freshwater and saltwater populations of aquatic organisms such as fish, crustaceans, mollusks and aquatic plants for food or ornamental use. Use for: Fishing industry, Commercial fishing. See also: Sustainable fishing, Fishing and hunting.",,N,Recreation & Sports,
